Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
arming_the_yugoslavs_title;Arming the South Slavs;;;;;;;;;;;;;
arming_the_yugoslavs_desc;In our war with Austria, we have discovered that many of the minorities of the Empire desire independence, and some of the most desirous are the various South Slavic peoples. If we promise them independence, they will likely fight alongside our armies, making Austria's defeat all the more likely.;;;;;;;;;;;;;
arming_the_magyars_title;Arming the Magyars;;;;;;;;;;;;;
arming_the_magyars_desc;In our war with Austria, we have discovered that many of the minorities of the Empire desire independence, and one of the most desirous is the Hungarian people. If we promise them independence, they will likely fight alongside our armies, making Austria's defeat all the more likely.;;;;;;;;;;;;;
arming_the_poles_title;Arming the Poles;;;;;;;;;;;;;
arming_the_poles_desc;In our war with Austria, we have discovered that many of the minorities of the Empire desire independence, and one of the most desirous is the Polish people. If we promise them independence, they will likely fight alongside our armies, making Austria's defeat all the more likely.;;;;;;;;;;;;;
arming_the_czechs_title;Arming the Czechs;;;;;;;;;;;;;
arming_the_czechs_desc;In our war with Austria, we have discovered that many of the minorities of the Empire desire independence, and one of the most desirous is the Polish people. If we promise them independence, they will likely fight alongside our armies, making Austria's defeat all the more likely.;;;;;;;;;;;;;
arming_the_romanians_title;Arming the Romanians;;;;;;;;;;;;;
arming_the_romanians_desc;In our war with Austria, we have discovered that many of the minorities of the Empire desire independence, and one of the most desirous is the Polish people. If we promise them independence, they will likely fight alongside our armies, making Austria's defeat all the more likely.;;;;;;;;;;;;;
annex_the_fed_title;The Rheinbund Incorporation;;;;;;;;;;;;;
annex_the_fed_desc;After holding the office of the Presidency of the Rheinbund for more than twenty years, many in our government are beginning to feel we should use our position of influence to formally annex the Federation directly into the Kingdom of Prussia. Due to France's distraction with a civil war, it is unlikely that this move will be challenged, but it will surely be seen as an amoral one, both inside and outside Germany.;;;;;;;;;;;;;
send_Frankfurt_delegate_title;Send a Delegate to Frankfurt;;;;;;;;;;;;;
send_Frankfurt_delegate_desc;The current assembly meeting in Frankfurt to discuss a unification of the German people is, for the moment, seen quite positively by much of our population. If we send a delegate in favor of unification to Frankfurt, we can calm them down from their current agitated state, but if the Assembly actually decides to unify, then we will be forced to cede sovereignty to the new union.;;;;;;;;;;;;;
take_in_war_CAN_title;Reunite the British People;;;;;;;;;;;;;
take_in_war_CAN_desc;We find ourselves at wat this day with the usurpers on the home islands. While it is unlikely this will be the final battle that decides the fate of the British race, if we do manage to pull off a complete victory in this war, we can forcibly annex the Union and establish ourselves as masters of the British nation once more.;;;;;;;;;;;;;
take_in_war_BRI_title;Reunite the British People;;;;;;;;;;;;;
take_in_war_BRI_desc;We find ourselves at wat this day with the tyrannical pretenders in Canada. While it is unlikely this will be the final battle that decides the fate of the British race, if we do manage to pull off a complete victory in this war, we can forcibly annex the Empire and establish ourselves as masters of the British nation.;;;;;;;;;;;;;
the_final_battle_BRI_title;The Final Battle;;;;;;;;;;;;;
the_final_battle_BRI_desc;Our infiltration of the crumbling and decadent British Empire has paid off, and the country is completely divided. Our supporters stand ready to seize military and civilian headquarters all over their colonies and major cities, including the capital itself. As soon as we give the signal, the final battle that will reunite the British people will begin with a devastating first blow from us. The war will continue until one side reaches 100 War Exhaustion or completely conquers the other side.;;;;;;;;;;;;;
the_final_battle_CAN_title;The Final Battle;;;;;;;;;;;;;
the_final_battle_CAN_desc;Our infiltration of the crumbling and decadent British Union has paid off, and the country is completely divided. Our supporters stand ready to seize military and civilian headquarters all over their major cities, including the capital itself. As soon as we give the signal, the final battle that will reunite the British people will begin with a devastating first blow from us. The war will continue until one side reaches 100 War Exhaustion or completely conquers the other side.;;;;;;;;;;;;;
BRI_wins_modifier_title;Infiltrate the Empire;;;;;;;;;;;;;
BRI_wins_modifier_desc;Due to our victories against the exiled monarchy for influence over the decades, many within the British Empire's government and military hierarchy have realized that the Union will inevitably reunite the British dominions. As such, now is the time to begin funding the creation of a fifth column within the Empire so that when the instability grows high enough that our spies tell us the right time to strike is here, our first strike will be devastating.;;;;;;;;;;;;;
CAN_wins_modifier_title;Infiltrate the Union;;;;;;;;;;;;;
CAN_wins_modifier_desc;Due to our victories against the usurpers for influence over the decades, many within the British Union's government and military hierarchy have realized that the Empire will inevitably reunite the British dominions. As such, now is the time to begin funding the creation of a fifth column within the Union so that when the instability grows high enough that our spies tell us the right time to strike is here, our first strike will be devastating.;;;;;;;;;;;;;
british_claim_on_ireland_title;Protecting our People;;;;;;;;;;;;;
british_claim_on_ireland_desc;Since we lost Ireland in the War of the Sixth Coalition, politics there have been dominated by the dictatorial Catholic Party, who refuse to allow the people any real say in the government and who brutally oppress the British and Protestant residents of the Island. While we have no desire to hold Ireland like the corrupt Hanoverians did, it might be necessary to intervene in Ireland for the sake of securing our bretheren's safety.;;;;;;;;;;;;;
royal_treaty_of_dublin_title;Royal Overtures;;;;;;;;;;;;;
royal_treaty_of_dublin_desc;Our spies in Ireland have recently reported to us that the government is in an uproar over a planned expedition by the Unionists to seize Northern Ireland. While we have always held onto our claim to all of Ireland, perhaps now is a good time to mollify our claims. If we offer them an alliance and a dropping of claims on their island in exchange for a recognition of Queen Victoria as their rightful sovereign and a port in Ireland for our navy, perhaps they will be willing to accept.;;;;;;;;;;;;;
treaty_of_dublin_title;The Irish Compromise;;;;;;;;;;;;;
treaty_of_dublin_desc;Now that we turned down the offer of protection from the British Empire, little stands between us and the military might of the Union. If, however, we were willing to send a delegation to London to at least hear what their government wants from us, without promising anything for now, perhaps we could mollify their wrath and seek better relations with them.;;;;;;;;;;;;;
reclaim_duchy_of_prussia_title;Reclaim Prussia;;;;;;;;;;;;;
reclaim_duchy_of_prussia_desc;The boundaries of the Kingdom of Poland-Lithuania once stretched from Danzig to Vitebsk. Over the centuries, however, our country grew weak, making us an easy target for those who sought to hold our rich lands. Now that our nation is as strong as those nations that once threatened us, many of our people call for us to liberate our oppressed bretheren in the Prussian lands.;;;;;;;;;;;;;
reclaim_silesia_title;Reclaim Silesia;;;;;;;;;;;;;
reclaim_silesia_desc;The boundaries of the Kingdom of Poland-Lithuania once stretched from Danzig to Vitebsk. Over the centuries, however, our country grew weak, making us an easy target for those who sought to hold our rich lands. Now that our nation is as strong as those nations that once threatened us, many of our people call for us to liberate our oppressed bretheren in Silesia.;;;;;;;;;;;;;
reclaim_galicia_title;Reclaim Galicia;;;;;;;;;;;;;
reclaim_galicia_desc;The boundaries of the Kingdom of Poland-Lithuania once stretched from Danzig to Vitebsk. Over the centuries, however, our country grew weak, making us an easy target for those who sought to hold our rich lands. Now that our nation is as strong as those nations that once threatened us, many of our people call for us to liberate our oppressed bretheren in Galicia.;;;;;;;;;;;;;
reclaim_ruthenian_borderlands_title;Reclaim Ruthenia - Borderlands;;;;;;;;;;;;;
reclaim_ruthenian_borderlands_desc;The boundaries of the Kingdom of Poland-Lithuania once stretched from Danzig to Vitebsk. Over the centuries, however, our country grew weak, making us an easy target for those who sought to hold our rich lands. Now that our nation is as strong as those nations that once threatened us, many of our people call for us to liberate our oppressed bretheren in Ruthenia.;;;;;;;;;;;;;
reclaim_latvia_title;Reclaim Latvia;;;;;;;;;;;;;
reclaim_latvia_desc;The boundaries of the Kingdom of Poland-Lithuania once stretched from Danzig to Vitebsk. Over the centuries, however, our country grew weak, making us an easy target for those who sought to hold our rich lands. Now that our nation is as strong as those nations that once threatened us, many of our people call for us to liberate our oppressed bretheren in Latvia.;;;;;;;;;;;;;
reclaim_ruthenia_all_title;Reclaim Ruthenia;;;;;;;;;;;;;
reclaim_ruthenia_all_desc;The boundaries of the Kingdom of Poland-Lithuania once stretched from Danzig to Vitebsk. Over the centuries, however, our country grew weak, making us an easy target for those who sought to hold our rich lands. Now that our nation is as strong as those nations that once threatened us, many of our people call for us to liberate our oppressed bretheren in Ruthenia.;;;;;;;;;;;;;
embrace_ruthenians_title;Embrace the Ruthenians;;;;;;;;;;;;;
embrace_ruthenians_desc;Ruthenians compose a large plurality of the Polish-Lithuanian commonwealth and a majority in the historical eastern border of the commonwealth. For decades, the Ruthenian culture and language has been slowly, yet surely, gravitating towards the Polish and Lithuanian ways of life to the point that Ruthenian is mutually intelligible with the two dominant languages of the commonwealth. The Ruthenians can, and have, fit well into the Polish-Lithuanian mold. The Ruthenian people are fine to join the national fraternity of the Polish and Lithuanian cultures as their own member in the commonwealth, for the stability of the nation.;;;;;;;;;;;;;
the_british_cession_title;The Imperial Cession;;;;;;;;;;;;;
the_british_cession_desc;Our border west of the Northwest Territories is one that is a point of tension with our neighbor. It remains ill-defined and uncertain, especially along the frontier areas. If we agree to establish the border as the 49th parallel, we will improve our standing in the eyes of the world along with our relations with our neighbor, though we will have to give up a small amount of land.;;;;;;;;;;;;;
reino_unido_constitution_title;The United Congress;;;;;;;;;;;;;
reino_unido_constitution_desc;The joint kingdoms of Brazil and Portugal have been plagued with issues concerning the economic and political interests of each. However, new economic and social theories are revealing to the populace that much can be gained for both sides in a fair and equitable union. Through the union, their lives had been improved by far much more than it would have been had they been separate. By holding a Congress with representatives from both kingdoms, a new constitution can be drafted to more firmly guarantee the life of the United Kingdom;;;;;;;;;;;;;
guyana_purchase_title;The Guyana Purchase;;;;;;;;;;;;;
guyana_purchase_desc;Since our seizure of Guyana during the wars with Napoleon, we have owned only the eastern portion. The rest having been seized by the British has been in our eyes, an appropriate reaction. But with the Empire's lack of action in Europe and split empire abroad, we believe that we can make an offer to purchase the rest of Guyana and ease off the amount of land that is spread afar. However, if negotiations do not go our way, we are likely to claim the land forcefully.;;;;;;;;;;;;;
end_the_mysore_monarchy_title;End the Mysore Monarchy;;;;;;;;;;;;;
end_the_mysore_monarchy_desc;The Mysore monarchy has always been under our influence and compliant with our demands. The monarchy has recenty defied us by coronating a leader who will attempt to westernize his country and force us out of the Indian Sub-Continent. We must act and annex Mysore before we risk losing our control over Southern India;;;;;;;;;;;;;
end_EIC_title;End of the East India Company;;;;;;;;;;;;;
end_EIC_desc;This is only for AI, there is no need for a description. If you're looking at this and want to know the purpose, it's for when the EIC is a puppet of the British Empire and at war with Bengal. This is so the war isn't all messy because the idiots who programmed this game messed up puppet actions with their overlord and others. If you want an example, look at the Oregon Treaty events where it's incredibly difficult to make the Hudson's Bay Company secede land to the USA, instead you need to cede it to the Empire, and then the USA with any odd actions breaking it;;;;;;;;;;;;;
greek_lands_question_title;The Greek Question;;;;;;;;;;;;;
greek_lands_question_desc;Now that the nation of Greece exists, our Greek lands seem like they should not remain in our hands. Giving them to reborn Greece will improve our standing in the eyes of the world and with them.;;;;;;;;;;;;;
release_AFA_title;The Declaration of Free Peoples;;;;;;;;;;;;;
release_AFA_desc;During the French Revolutionary Wars and continued under Napoleon I, France expanded its borders all the way to Denmark in the North, the Rhine in the East, and Lombardy in the South. Few of the non-French peoples added to the Empire, however, were content with this, and currents of nationalism quickly formed. With the Civil War growing desperate, perhaps now is the time to take advantage of these sentiments by promising these peoples independence if they rise up against our enemy. Doing so, however, will mean forever abandoning our claims on their land when the war is over.;;;;;;;;;;;;;
a_new_concordat_title;A New Concordat;;;;;;;;;;;;;
a_new_concordat_desc;In 1801, after more than 10 years of strife between the Roman Catholic Church and France, First Consul Napoleon Bonaparte and Pope Pius VII reached a famous agreement that led to a reconciliation between church and state. The Concordat of 1801 gave the French Republic de facto control over the appointment of church officials in exchange for nominal church authority and a restoration of religious holidays. The agreement was an amazing political coup by Napoleon, who gained the support of France's Catholic population while keeping most of the power over the Church that had been set up in the 1790 Civil Constitution of the Clergy. However, a recent movement within the Church believes that it is now time that this deal be re-negotiated to ensure a better position for the Church in France.;;;;;;;;;;;;;
french_invasion_title;Partant Pour la Egypte;;;;;;;;;;;;;
french_invasion_desc;In 1798, General Napoleon Bonaparte invaded Egypt in a mission to establish a French protectorate there. The mission was intended to be the first step towards an eventual invasion of British India, but was also a personal project of Napoleon to research Egypt's history and culture. The scientists he brought to that ancient land started the craze for all things Egyptian that swept Europe in the 19th century, and made such discoveries as the Rosetta Stone and the former location of the ancient Suez Canal. While the mission eventaully failed due to British and Ottoman Intervention, recent nostalgia for the days of glory and empire have led many in our country to believe we should try and establish ourselves in Egypt once more.;;;;;;;;;;;;;
carribean_treaty_title;The Imperial-French Treaty;;;;;;;;;;;;;
carribean_treaty_desc;In the Napoleonic Wars the British Empire, with its unquestionably superior naval power, seized all of the French colonies in the Atlantic, including ones that France had been given in other treaties or had owned for centuries. If we wish to attempt to find a solution to their claims to their colonies, let us call for negotiations between our two empires.;;;;;;;;;;;;;
annex_algiers_title;Annex Algeria;;;;;;;;;;;;;
annex_algiers_desc;Since we thwarted Spanish ambitions there with the aid of the Barbary Corsairs in 1516, the Ottoman Empire has nominally ruled Algeria. Though how much control we have been able to exercise has varied throughout the centuries, our nation's current strength, bolstered by new military technologies that put us leagues ahead of them, will now allow us to rule Algeria more directly than ever before.;;;;;;;;;;;;;
vassalize_crimea_title;Vassalize Crimea;;;;;;;;;;;;;
vassalize_crimea_desc;Through our efforts, the Crimean Khanate exists once more. As it was in the past, let us vassalize them so that our interests in the Black Sea may be better defended.;;;;;;;;;;;;;
crimean_war_title;The Crimean War;;;;;;;;;;;;;
crimean_war_desc;The Ottoman Empire used to directly rule or control much of the land surrounding the Eastern and Northern Black Sea, including the Crimean Penninsula, which was ruled by our vassals. While we lost these lands to the Russians long ago, the strife in Russia makes it possible that we could take much of this land back. While our claims will be shaky, the questionable legitimacy of the current Russian government and our historical justifications will least enable us to make a somewhat valid claim, though we may have to fear the intervention of Russia's allies. Further, if we fail to free the Crimea, no matter what else we accomplish, it is likely we will lose our claims to these lands.;;;;;;;;;;;;;
liberty_enlightening_the_world_title;Reminding The World;;;;;;;;;;;;;
