Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME19500;The Eastern Frontier;;;;;;;;;;;;;
EVTDESC19500;The British occupation is something most Afrikaners would prefer to forget about. With the British spread thin across the world, our settlers were mostly left to their own devices defending from the Bantu invaders. By the end of the Fifth Xhosa War of 1819, most of South Africa was controlled by Boer governorates and their provincial militias. Crippled by debt, the British government gave up their hold on Port Elizabeth and Cape Town and confirmed South African independence in exchange for a small sum of money and fleet basing rights. Rumours of gold, diamonds, and unlimited riches have led many to flee war-torn Europe for our republic. Some Boers have even decided to migrate further inland. On the other hand, overcrowding in Xhosa lands has culminated in yet another Frontier War-- the largest Bantu incursion into Afrikaner territory yet. ;;;;;;;;;;;;;
EVTOPTA19500;The only way is forward.;;;;;;;;;;;;;
EVTNAME19511;Zulu-Xhosa Conflict;;;;;;;;;;;;;
EVTDESC19511;The Xhosa have been slowly creeping into our lands ever since they were defeated by the white men. Some Zulu chieftains have already decided to take matters into their own hands, severely punishing cattle raiders and other good-for-nothings. Perhaps now is the time to escalate?;;;;;;;;;;;;;
EVTOPTA19511;They will tremble before our might!;;;;;;;;;;;;;
EVTOPTB19511;Leave them be.;;;;;;;;;;;;;
EVTNAME4661999;The Bolivian Rebellion;;;;;;;;;;;;;
EVTDESC4661999;The Bolivian government has always been quiet and has ignored our wars with our puppets and neighbors, but with our recent conflicts and struggles, they have decided to declare independence for Bolivia. We can either not allow this to stand, or set them free.;;;;;;;;;;;;;
EVTOPTA4661999;We won't allow this injustice to happen!;;;;;;;;;;;;;
EVTOPTB4661999;If you love something, let it go.;;;;;;;;;;;;;
EVTNAME4662000;The Claims of Bolivia;;;;;;;;;;;;;
EVTDESC4662000;Now that Bolivia ceases to exist, they can no longer contest the lands to the North actively. In their place we will claim the Northern lands they once did.;;;;;;;;;;;;;
EVTOPTA4662000;We claim the Bolivian lands.;;;;;;;;;;;;;
EVTNAME4662001;Border Dispute With Gran Colombia;;;;;;;;;;;;;
EVTDESC4662001;The Gran Colombians have once again shot at our borders in Costa Rica, but this time they have gone too far and have killed multiple border guards. We will not allow this to happen again, and the only way to stop this is through military action.;;;;;;;;;;;;;
EVTOPTA4662001;We won't be seen as weak.;;;;;;;;;;;;;
EVTOPTB4662001;We can't risk war.;;;;;;;;;;;;;
EVTNAME4662002;Panama is Ours!;;;;;;;;;;;;;
EVTDESC4662002;We have defeated the Gran Colombians and seized Panama for our country. The Colombians will now be more careful when deciding who's borders to fire upon.;;;;;;;;;;;;;
EVTOPTA4662002;We welcome the people of Panama into our republic.;;;;;;;;;;;;;
EVTNAME4662003;Our Claim to Pastaza;;;;;;;;;;;;;
EVTDESC4662003;We have claimed Pastaza since our independence, and the time to regain lost land is now! We have a chance to bring down Gran Colombia and show our strength and ability to be a regional power;;;;;;;;;;;;;
EVTNAME4662004;Spanish Victory!;;;;;;;;;;;;;
EVTDESC4662004;We have defeated the Gran Colombians and shown them the strength of Spain. The terms for peace were the secession of Pastaza from Ecuador and the limiting of Colombia to build an army.;;;;;;;;;;;;;
EVTOPTA4662004;Pastaza is ours!;;;;;;;;;;;;;
EVTNAME4662005;Collapse of Gran Colombia;;;;;;;;;;;;;
EVTDESC4662005;We are no longer able to lead Gran Colombia. Ecuador and Venezuela no longer have faith in our unity, having already left the federation. It is time to reinvent ourselves as Colombia. Maybe one day we can reignite the flame of Gran Colombia.;;;;;;;;;;;;;
EVTOPTA4662005;Viva Colombia!;;;;;;;;;;;;;
EVTNAME4662006;Unification of Gran Colombia;;;;;;;;;;;;;
EVTDESC4662006;The Central Americans and Peruvians were not able to defeat Gran Colombia in their imperialist wars to kill the federation. Due to these wars, the respective governments of Ecuador and Venezuela have agreed to centralize the federation in hopes of strengthening our position in South America.;;;;;;;;;;;;;
EVTOPTA4662006;The flame of Gran Colombia burns bright!;;;;;;;;;;;;;
EVTOPTA99033;We accept those who come.;;;;;;;;;;;;;
EVTNAME4662008;Liquidate the Hudson's Bay Company.;;;;;;;;;;;;;
EVTDESC4662008;The Hudson's Bay Company has been troubled with severe losses throughout the early 19th Century. With shrinking demand for furs and the Hudson's Bay Company's failures to enter other markets, they have finally defaulted on their debts. The British Empire must take over all of their assets and debts in order to defend Canada from foreign militaries.;;;;;;;;;;;;;
EVTOPTA4662008;They needed to go.;;;;;;;;;;;;;
EVTNAME4662009;A New Capital for Gran Colombia?;;;;;;;;;;;;;
EVTDESC4662009;We have federalized our country, and have decided to choose a new capital for our country. What we choose will be our new capital for the years to come.;;;;;;;;;;;;;
EVTOPTA4662009;Bogota is the only candidate.;;;;;;;;;;;;;
EVTOPTB4662009;Quito provides an ideal Pacific capital.;;;;;;;;;;;;;
EVTOPTC4662009;Caracas will make a great coastal capital.;;;;;;;;;;;;;
EVTNAME4662010;The Luccan Question;;;;;;;;;;;;;
EVTDESC4662010;With the unification of Italy starting to gain speed, we have decided to choose the fate of Lucca, an Italian country under our control. We can either divide the country between the Papacy and the Kingdom of Italy with great boost to our relations and reputation, let the Luccans stay as they are, or annex them directly into the French Empire to make sure they try nothing suspicious;;;;;;;;;;;;;
EVTOPTA4662010;They should join their true family;;;;;;;;;;;;;
EVTOPTB4662010;Lucca is fine as it is now;;;;;;;;;;;;;
EVTOPTC4662010;Lucca is a member of the French Empire!;;;;;;;;;;;;;
EVTNAME4662011;Brazil Claims Independence;;;;;;;;;;;;;
EVTDESC4662011;With the recent loss of Rio de Janeiro to rebels, the realization by the Brazilian people that they can finally gain independence has come to them, and have acted upon our temporary state of weakness. We can choose to destroy them and solidify our control over the region, or give them the independence they really want.;;;;;;;;;;;;;
EVTOPTA4662011;We won't back down!;;;;;;;;;;;;;
EVTOPTB4662011;We will grant them independence, but we want Guyana.;;;;;;;;;;;;;
EVTOPTC4662011;They can have the entirety of the continent for themselves.;;;;;;;;;;;;;
EVTNAME4662012;The Guyanese Purchase;;;;;;;;;;;;;
EVTDESC4662012;Guyana has had an offer to be purchased for an amount of 50,000. This can certainly be used for our expansion back into Europe, or to promote a rebellion in the isles.;;;;;;;;;;;;;
EVTOPTA4662012;We have no need for Guyana, we accept.;;;;;;;;;;;;;
EVTOPTB4662012;We can only afford to give half of our deal.;;;;;;;;;;;;;
EVTOPTC4662012;The territory of Guyana is rightful British land.;;;;;;;;;;;;;
EVTNAME4662013;A Partial Offer;;;;;;;;;;;;;
EVTDESC4662013;The British have come back to us with a partial offer. We can choose to get half of the colony for only 25,000 with their reasoning being that they still need a gateway to defend their African colonies. We can choose to either accept, gain nothing, or take it by force.;;;;;;;;;;;;;
EVTOPTA4662013;We accept this offer.;;;;;;;;;;;;;
EVTOPTB4662013;This offer is trash!;;;;;;;;;;;;;
EVTNAME4662014;Negotiations Crumble;;;;;;;;;;;;;
EVTDESC4662014;The British have offered us nothing! Our offer was appropriate and should have gone through.;;;;;;;;;;;;;
EVTOPTA4662014;There is nothing we can do.;;;;;;;;;;;;;
EVTOPTB4662014;We will take this land by force!;;;;;;;;;;;;;
EVTNAME4662015;The Napoli Victory;;;;;;;;;;;;;
EVTDESC4662015;We have defeated the false claimants to the land of Naples. The pretenders being executed can no longer claim our land!;;;;;;;;;;;;;
EVTOPTA4662015;Sicily is ours!;;;;;;;;;;;;;
EVTNAME4662016;The Sicilian Victory;;;;;;;;;;;;;
EVTDESC4662016;We have defeated the false claimants to the land of Sicily. The pretenders being executed can no longer claim our land!;;;;;;;;;;;;;
EVTOPTA4662016;Naples is ours!;;;;;;;;;;;;;
EVTNAME4662017;The Orissan Court;;;;;;;;;;;;;
EVTDESC4662017;Our meeting with the monarch of Orissa has gone terribly, with our ambassador mis-translating and insulting the family of their King. Attempts to correct this mistake have only made the problem worse with the Orissans now up in arms demanding the execution of our ambassador. The British Empire tells us to not give the ambassador, but we can choose to defy them and send back the ambassador.;;;;;;;;;;;;;
EVTOPTA4662017;The ambassador is ours!;;;;;;;;;;;;;
EVTOPTB4662017;The ambassador is theirs?;;;;;;;;;;;;;
EVTNAME4662018;The Second Battle of Vizagapatam;;;;;;;;;;;;;
EVTDESC4662018;Our military advisors from the British Empire have told us to attack from behind our border. They promise us this can end the war instantly, and grant the possession of this new land. We can definitely trust them thanks to this having worked in the First Battle of Vizagapatam against the French Empire.;;;;;;;;;;;;;
EVTOPTA4662018;We will do as we're told.;;;;;;;;;;;;;
EVTOPTB4662018;We'll defy the British and negotiate peace.;;;;;;;;;;;;;
EVTNAME4662019;Treaty of Calcutta;;;;;;;;;;;;;
EVTDESC4662019;Our victory against the weak willed Orissans have brought us great power in the negotiations table. We've been advised to keep Vizagapatam for our own in order to finally reclaim India.;;;;;;;;;;;;;
EVTOPTA4662019;Vizagapatam is ours!;;;;;;;;;;;;;
EVTOPTB4662019;Vizagapatam is theirs?;;;;;;;;;;;;;
EVTNAME4662020;Reclamation Westward?;;;;;;;;;;;;;
EVTDESC4662020;Our quest in reclaiming the lands of the Indian coast have been working so far, but if we are to control India, we will need to control the center of the Indian subcontinent. Our gateway into that land is through the small country of Bastar. Its negligable power is perfect for us to take advantage of. The only risk is upsetting the Hyderabadis, a large and powerful country in India.;;;;;;;;;;;;;
EVTOPTA4662020;Onward to the west!;;;;;;;;;;;;;
EVTOPTB4662020;We shouldn't challenge the Hyderabadi dragon.;;;;;;;;;;;;;
EVTNAME4662021;East Indian Company;;;;;;;;;;;;;
EVTDESC4662021;Our government in control of the East India Company has gained some land in India. It would be wise to give the East India Company that land in their struggle to reclaim the Indian subcontinent.;;;;;;;;;;;;;
EVTOPTA4662021;This is appropriate.;;;;;;;;;;;;;
EVTNAME4662022;Establishing a Friendly Government;;;;;;;;;;;;;
EVTDESC4662022;The East India Company before the collapse had always had princes under our government, but not under our direct control. Through them, we could enact policies where the prince gained benefit and we did too, but at the cost of the populace. We have decided to restart that trend again, but we have no idea who to choose first and we can only choose one in order to extract the most profits. Should we install a friendly government in Nagpur or Bundelkhand? They are medium sized countries so we'll have to cut them both down a bit in order to connect to Vizagapatam. With a good bribe, we can do this now!;;;;;;;;;;;;;
EVTOPTA4662022;Bundelkhand is rich in food sources, they'll do.;;;;;;;;;;;;;
EVTOPTB4662022;Nagpur is rich in dye, they're profitable.;;;;;;;;;;;;;
EVTOPTC4662022;We want to coexist with the Indian countries.;;;;;;;;;;;;;
EVTNAME4662023;Isolation of Orissa;;;;;;;;;;;;;
EVTDESC4662023;Our growth into India has been contained into Eastern India, where we can administer land strongest. We are almost done in our conquest of Eastern India with the Kingdom of Orissa being the only country left. They are isolated politically, economically, and even socially. Even though they have the support of Hyderabad, it is only on paper. Now is the perfect chance to finish off Eastern India in the name of the East India Company!;;;;;;;;;;;;;
EVTOPTA4662023;The Bay of Bengal is ours!;;;;;;;;;;;;;
EVTNAME4662024;The East Indian Company Conflict;;;;;;;;;;;;;
EVTDESC4662024;The East India company has been expanding rapidly in an odd fashion. They seem to be expanding around our country, slowly isolating it as if to form a choke hold on our country. Even our countrymen have noticed, with their cries to take action before the East India Company fully ensnares our country, bringing us down to their boots. We must take action now, or forever fight no more.;;;;;;;;;;;;;
EVTOPTA4662024;They haven't done much, let's negotiate.;;;;;;;;;;;;;
EVTOPTB4662024;They must be defeated by us!;;;;;;;;;;;;;
EVTOPTC4662024;Best to not anger the Company lion.;;;;;;;;;;;;;
