;;;;;;;;;x;;;;;;;;
land_of_opportunity;Land of Opportunity;;;;;;;;;x;;;;;;;;
desc_land_of_opportunity;Our country is seen as a land of opportunity and a popular destination for migrants.;;;;;;;;;x;;;;;;;;
Indian_confed_start;The Indian Union;;;;;;;;;x;;;;;;;;
desc_Indian_confed_start;For the first time in over a thousand years, India is unified.;;;;;;;;;x;;;;;;;;
100k_move;Propaganda Dispersed;;;;;;;;;x;;;;;;;;
desc_100k_move;We are dispersing propaganda in the Australian provinces.;;;;;;;;;x;;;;;;;;
500k_move;Propaganda Dispersed;;;;;;;;;x;;;;;;;;
desc_500k_move;We are dispersing propaganda in the Australian provinces.;;;;;;;;;x;;;;;;;;
BRI_beacon;Union Loyalists;;;;;;;;;x;;;;;;;;
desc_BRI_beacon;This province is a center of pro-Union sentiment.;;;;;;;;;x;;;;;;;;
CAN_beacon;Imperial Loyalists;;;;;;;;;x;;;;;;;;
desc_CAN_beacon;This province is a center of pro-Imperial sentiment.;;;;;;;;;x;;;;;;;;
fund_proxy;Funding Proxy;;;;;;;;;x;;;;;;;;
desc_fund_proxy;We are funding our proxy in Australia.;;;;;;;;;x;;;;;;;;
demoralize_opponent;Demoralizing the Enemy;;;;;;;;;x;;;;;;;;
desc_demoralize_opponent;We are demoralizing the enemy proxy in Australia.;;;;;;;;;x;;;;;;;;
company_rule;Company Rule;;;;;;;;;x;;;;;;;;
desc_company_rule;We are a company, not a nation.;;;;;;;;;x;;;;;;;;
questioning_monarchy;Monarchy Questioned;;;;;;;;;x;;;;;;;;
desc_questioning_monarchy;Our nation is divided as to whether it should be a monarchy or a republic.;;;;;;;;;x;;;;;;;;
occupied_capital;Occupied Capital;;;;;;;;;x;;;;;;;;
desc_occupied_capital;Our capital has been occupied by the enemy, and our nation is being horribly hurt by this.;;;;;;;;;x;;;;;;;;
end_ireland;The End of the Irish Dispute;;;;;;;;;x;;;;;;;;
desc_end_ireland;Our nation is recovering from the end of the chaotic Irish dispute.;;;;;;;;;x;;;;;;;;
aussie_instability;Australian Instability;;;;;;;;;x;;;;;;;;
desc_aussie_instability;Pro-Union and Pro-Imperial sentiments threaten to tear Australia apart.;;;;;;;;;x;;;;;;;;
end_aus;The End of the Australian War;;;;;;;;;x;;;;;;;;
desc_end_aus;Our nation is recovering from the end of the chaotic Australian War.;;;;;;;;;x;;;;;;;;
hurting_enemy;Preparting Support;;;;;;;;;x;;;;;;;;
desc_hurting_enemy;Our agents are working behind the scenes to prepare for the final battle with the enemy.;;;;;;;;;x;;;;;;;;
ITP_forming;Papal Leadership;;;;;;;;;x;;;;;;;;
desc_ITP_forming;Garibaldi's forces are working to unify Italy under us.;;;;;;;;;x;;;;;;;;
springtime_redux;Nationalist Sentiment;;;;;;;;;x;;;;;;;;
desc_springtime_redux;A new wave of Pan-Nationalism is sweeping the Italian peninsula.;;;;;;;;;x;;;;;;;;
USA_NEN_fight;The American Division;;;;;;;;;x;;;;;;;;
desc_USA_NEN_fight;Our people wish to defend our conception of American Republicanism against the other side's.;;;;;;;;;x;;;;;;;;
mad_socialists;Anti-Noble Sentiment;;;;;;;;;x;;;;;;;;
desc_mad_socialists;Socialist agitation is making the nobility less popular.;;;;;;;;;x;;;;;;;;
mad_nobility;Discontented Nobility;;;;;;;;;x;;;;;;;;
desc_mad_nobility;The nobles are frustrated with our dynasty for our anti-noble policies.;;;;;;;;;x;;;;;;;;
happy_nobility;Contented Nobility;;;;;;;;;x;;;;;;;;
desc_happy_nobility;The nobles are pleased that we support them.;;;;;;;;;x;;;;;;;;
happy_socialists;Pro-Monarchy sentiment.;;;;;;;;;x;;;;;;;;
desc_happy_socialists;Our egalitarian policies are pleasing many in France.;;;;;;;;;x;;;;;;;;
otto_suck;Outdated Military;;;;;;;;;x;;;;;;;;
desc_otto_suck;The tactics, equipment, and officers of our armed forces are extremely outdated.;;;;;;;;;x;;;;;;;;
surplus_sold;Selling Supplies;;;;;;;;;x;;;;;;;;
desc_surplus_sold;We are tallying our surplus for the year.;;;;;;;;;x;;;;;;;;
korea_restoration_boost;Gwangmu Reform;;;;;;;;;x;;;;;;;;
korea_restoration_boost_desc;We are reforming our nation to become more like the Western powers.;;;;;;;;;x;;;;;;;;
hundred_days_china;The Hundred Days Reform;;;;;;;;;x;;;;;;;;
hundred_days_china_desc;For one brief period, our nation is attempting to rapidly modernize.;;;;;;;;;x;;;;;;;;
sunset_of_qing;The Twilight of the Qing;;;;;;;;;x;;;;;;;;
desc_sunset_of_qing;The age of the Qing seems to be drawing to a close.;;;;;;;;;x;;;;;;;;
conser_of_qing;Cultural Complacency;;;;;;;;;x;;;;;;;;
desc_conser_of_qing;Our belief in our superior culture makes us blind to what the West has to offer.;;;;;;;;;x;;;;;;;;
strengthening_movement;Self-Strengthening Movement;;;;;;;;;x;;;;;;;;
desc_strengthening_movement;We are making cautious reforms with the goal of increasing China's strength.;;;;;;;;;x;;;;;;;;
opium_stack_1;The Opium Trade;;;;;;;;;x;;;;;;;;
desc_opium_stack_1;The scourge of opium is ravaging our subjects.;;;;;;;;;x;;;;;;;;
westernizers_in_power;Westernizers Favored;;;;;;;;;x;;;;;;;;
desc_westernizers_in_power;We currently favor Westernizers for appointments in the government.;;;;;;;;;x;;;;;;;;
slavophiles_in_power;Slavophiles Favored;;;;;;;;;x;;;;;;;;
desc_slavophiles_in_power;We currently favor Slavophiles for appointments in the government.;;;;;;;;;x;;;;;;;;
bismarck_wizardry;The Iron Chancellor;;;;;;;;;x;;;;;;;;
desc_bismarck_wizardry;Otto von Bismarck is governing our nation.;;;;;;;;;x;;;;;;;;
UR_tensions;Union Tensions;;;;;;;;;x;;;;;;;;
desc_UR_tensions;Our Brazilian and Portuguese subjects are beginning to believe that a Union between our two Kingdoms necessarily favors one of the Kingdoms' interests over the other.;;;;;;;;;x;;;;;;;;
fund_greeks;Funding the Greeks;;;;;;;;;x;;;;;;;;
desc_fund_greeks;We are supplying the Greeks in their revolt against the Turks.;;;;;;;;;x;;;;;;;;
nationalist_agitation;Nationalist Agitation;;;;;;;;;;;;x,,,;;;;;
nationalist_agitation_desc;Nationalists are active in the province, stirring up trouble with random acts of violence. If left unchecked, they may rise in rebellion against us.;;;;;;;;;;;;x,;;;;;
PR_rebellion;Independence Societies;Independence Societies;Independence Societies;;Independence Societies;;;;;;;;;x;;;;
desc_PR_rebellion;Societies pushing for independence from the Union have been agitating public opinion in this province.;Independence Societies;Independence Societies;;Independence Societies;;;;;;;;;x;;;;
prussian_imports;Prussian Influence;Prussian Influence;Prussian Influence;;Prussian Influence;;;;;;;;;x;;;;
desc_prussian_imports;Our military tactics are strongly influenced by Prussian strategy.;Prussian Influence;Prussian Influence;;Prussian Influence;;;;;;;;;x;;;;
turkish_imports;Damascus Steel;;;;;;;;;x;;;;;;;;
desc_turkish_imports;Our rediscovery of how to forge Damascus Steel has made our armies stronger than ever before.;;;;;;;;;x;;;;;;;;
reactionary_fired;Russian Instability;;;;;;;;;x;;;;;;;;
desc_reactionary_fired;Many Russians view our government as illegitimate and weak.;;;;;;;;;x;;;;;;;;
Germanization_modifier;Germanization Policy;;;;;;;;;x;;;;;;;;
desc_Germanization_modifier;We are pursuing a policy of centalization and forcible assimilation.;;;;;;;;;x;;;;;;;;
Dualism_modifier;Dualist Policy;;;;;;;;;x;;;;;;;;
desc_Dualism_modifier;We are pursuing a policy of dualism and working with the Magyars to maintain order.;;;;;;;;;x;;;;;;;;
Federalism_modifier;Federalist Policy;;;;;;;;;x;;;;;;;;
desc_Federalism_modifier;We are pursuing a policy of federalism in which all minorities have equal rights.;;;;;;;;;x;;;;;;;;
federalized_province;Semi-Autonomous province;;;;;;;;;x;;;;;;;;
desc_federalized_province;This province has been granted a great deal of independence from the government in Vienna.;;;;;;;;;x;;;;;;;;
federalized_province_2;Crushed Ambitions;;;;;;;;;x;;;;;;;;
desc_federalized_province_2;This province has recently had its dreams of even greater autonomy crushed.;;;;;;;;;x;;;;;;;;
Hungarians_revolted;Heavy Military Presence;;;;;;;;;x;;;;;;;;
desc_Hungarians_revolted;The crushing of rebellion in this province has lead to it being occupied by many wary troops.;;;;;;;;;x;;;;;;;;
eic_bengali_stay;Bengali Migration Limit;;;;;;;;;x;;;;;;;;
desc_eic_bengali_stay;Our country bans the migration of all Bengalis out of our country.;;;;;;;;;x;;;;;;;;
