Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTDESC90005;Although we only want to help $CB_TARGET_NAME$ by adding them to our sphere of influence they have gotten very worked up about it. While unseemly to all involved, their behaviour has rather turned international opinion against forcefully requesting they join us in our prosperity.;;;;;;;;;;;;;
EVTNAME45103;The Dominican Independence;;;;;;;;;;;;;
EVTDESC45103;La Trinitaria Society was victorious and our independence is now complete. We remained independent long enough for the world to recognize us as a sovereign state!;;;;;;;;;;;;;
EVT45103OPTA;Viva la República Dominicana!;;;;;;;;;;;;;
EVTNAME203770;Slave population grows;;;;;;;;;;;;;
EVTDESC203770;Despite slave trade being banned for some time now, a direct result of the United Kingdom pressure, the slave population in our country grows, not by trade but by population growth.;;;;;;;;;;;;;
EVTOPTA203770;Good, Good.;;;;;;;;;;;;;
EVTNAME600050;Polish Insurrection;;;;;;;;;;;;;
EVTDESC600050;When a Polish insurrection broke out in Galicia (Austrian Poland) and Krakow early in 1846 many Austrians held that Krakow's independent status provided the stimulus as well as a forum for the planning of Polish revolts. However, we are still bound by the Treaty of Vienna and our administration of Krakow with Prussia and Russia.;;;;;;;;;;;;;
EVT600050OPTA;Dispatch diplomats to begin the talks.;;;;;;;;;;;;;
EVT600050OPTB;We don't care about Prussia and Russia consent on this matter, we must act now.;;;;;;;;;;;;;
EVT600050OPTC;Ignore the rebellion. They are harmless.;;;;;;;;;;;;;
EVTNAME600066;The Italian Legion;;;;;;;;;;;;;
EVTDESC600066;Giuseppe Garibaldi moved in with his wife and has been living in Montevideo for a time already. A sworn fighter against tyranny, he now has offered his help in setting up the defences of Montevideo against Oribe and Rosas and has offered to lead an Italian Legion made of foreign soldiers that will help us in the struggle against the tyranny of Rosas. Furthermore, it has been recommended that we do as the Blancos are planning to do and abolish slavery in Uruguay so we can have more soldiers for the war.;;;;;;;;;;;;;
EVTOPT600066A;We welcome him and his soldiers.;;;;;;;;;;;;;
EVTOPT600066B;We don't need any help.;;;;;;;;;;;;;
EVTNAME600067;The Defences of Montevideo;;;;;;;;;;;;;
EVTDESC600067;The Italian Legion of Garibaldi has finished the construction of a fort and barricades throughout the city. This will, without a doubt, help us in the war.;;;;;;;;;;;;;
EVTOPT600067A;Wonderful!;;;;;;;;;;;;;
EVTNAME600068;Garibaldi seizes a province;;;;;;;;;;;;;
EVTDESC600068;The Italian Legion has defeated the enemy in a province and seized it back, returning it for us.;;;;;;;;;;;;;
EVTOPT600068A;Splendid!;;;;;;;;;;;;;
EVTOPT600069A;Finally.;;;;;;;;;;;;;
EVTOPT600070A;I'm sure there will be no problems. Ask for their help.;;;;;;;;;;;;;
EVTOPT600070B;We can take care of this war by ourselves.;;;;;;;;;;;;;
EVTOPT600071A;Agree to these terms.;;;;;;;;;;;;;
EVTOPT600071B;We can't afford to help them right now.;;;;;;;;;;;;;
EVTOPT600072A;Finally we can have some peace.;;;;;;;;;;;;;
EVTOPT600072B;Unnecessary. Our current government will always have power.;;;;;;;;;;;;;
